VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2005,2005,4.9,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2006,2006,4.7,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2007,2007,4.1,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2008,2008,4.1,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2009,2009,4.2,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2010,2010,4.1,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2011,2011,3.8,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2012,2012,3.3,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2013,2013,3.6,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2014,2014,3.4,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2015,2015,3.2,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2016,2016,3.1,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2017,2017,3.3,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUS,Australia,2018,2018,3.1,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2005,2005,4.2,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2006,2006,3.6,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2007,2007,3.7,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2008,2008,3.7,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2009,2009,3.8,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2010,2010,3.9,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2011,2011,3.6,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2012,2012,3.2,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2013,2013,3.1,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2014,2014,3,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2015,2015,3.1,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2016,2016,3.1,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2017,2017,2.9,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,AUT,Austria,2018,2018,2.7,,
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",RATEPTTX,Deaths per 1 000 live births,BEL,Belgium,2005,2005,3.7,,
